invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Revenue,Total_profit,Revenue_per_Unit,Profit_Category
1,WALM003,San Antonio,Health and beauty,74.69,7.0,05/01/19,13:08:00,Ewallet,9.1,0.48,522.8299999999999,250.95839999999995,74.68999999999998,High Profit
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,08/03/19,10:29:00,Cash,9.6,0.48,76.39999999999999,36.672,15.279999999999998,High Profit
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,03/03/19,13:23:00,Credit card,7.4,0.33,324.31,107.0223,46.33,High Profit
4,WALM064,Bedford,Health and beauty,58.22,8.0,27/01/19,20:33:00,Ewallet,8.4,0.33,465.76,153.70080000000002,58.22,High Profit
5,WALM013,Irving,Sports and travel,86.31,7.0,08/02/19,10:37:00,Ewallet,5.3,0.48,604.1700000000001,290.0016,86.31000000000002,High Profit
6,WALM026,Denton,Electronic accessories,85.39,7.0,25/03/19,18:30:00,Ewallet,4.1,0.48,597.73,286.9104,85.39,High Profit
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,25/02/19,14:36:00,Ewallet,5.8,0.33,413.04,136.3032,68.84,High Profit
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,24/02/19,11:38:00,Ewallet,8.0,0.18,735.6,132.408,73.56,High Profit
9,WALM066,Grapevine,Health and beauty,36.26,2.0,10/01/19,17:15:00,Credit card,7.2,0.33,72.52,23.9316,36.26,Low Profit
10,WALM065,Texas City,Food and beverages,54.84,3.0,20/02/19,13:27:00,Credit card,5.9,0.33,164.52,54.2916,54.84,High Profit
11,WALM013,Irving,Fashion accessories,14.48,4.0,06/02/19,18:07:00,Ewallet,4.5,0.48,57.92,27.8016,14.48,Low Profit
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,09/03/19,17:03:00,Cash,6.8,0.48,102.04,48.9792,25.51,High Profit
13,WALM027,Abilene,Electronic accessories,46.95,5.0,12/02/19,10:25:00,Ewallet,7.1,0.48,234.75,112.67999999999999,46.95,High Profit
14,WALM035,San Angelo,Food and beverages,43.19,10.0,07/02/19,16:48:00,Ewallet,8.2,0.48,431.9,207.31199999999998,43.19,High Profit
15,WALM031,Lewisville,Health and beauty,71.38,10.0,29/03/19,19:21:00,Cash,5.7,0.48,713.8,342.62399999999997,71.38,High Profit
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,15/01/19,16:19:00,Cash,4.5,0.48,562.3199999999999,269.9136,93.71999999999998,High Profit
17,WALM029,Round Rock,Health and beauty,68.93,7.0,11/03/19,11:03:00,Credit card,4.6,0.48,482.51000000000005,231.6048,68.93,High Profit
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,01/01/19,10:39:00,Credit card,6.9,0.33,435.65999999999997,143.7678,72.61,High Profit
19,WALM053,Conroe,Food and beverages,54.67,3.0,21/01/19,18:00:00,Credit card,8.6,0.57,164.01,93.48569999999998,54.669999999999995,High Profit
20,WALM013,Irving,Home and lifestyle,40.3,2.0,11/03/19,15:30:00,Ewallet,4.4,0.48,80.6,38.687999999999995,40.3,High Profit
21,WALM044,Pharr,Electronic accessories,86.04,5.0,25/02/19,11:24:00,Ewallet,4.8,0.48,430.20000000000005,206.496,86.04,High Profit
22,WALM088,Cleburne,Health and beauty,87.98,3.0,05/03/19,10:40:00,Ewallet,5.1,0.33,263.94,87.1002,87.98,High Profit
